"idcliente","nombre","apellido","email","genero","edad","compras_anuales"
"1","Marielle","Dartan","mdartan0@simplemachines.org","Female","38","4"
"2","Yves","Frentz","yfrentz1@usa.gov","Male","38","1"
"3","Teddie","Uppett","tuppett2@fastcompany.com","Male","33","3"
"4","Michele","Bellward","mbellward3@cdbaby.com","Male","60","1"
"5","Ramona","MacAndrew","rmacandrew4@amazon.com","Female","28","2"
"6","Ellerey","Scranney","escranney5@oaic.gov.au","Male","39","5"
"7","Mathilda","Durrance","mdurrance6@furl.net","Female","32","4"
"8","Cassandre","Sandercock","csandercock7@technorati.com","Female","21","5"
"9","Shelagh","Skingley","sskingley8@wsj.com","Female","23","5"
"10","Daphne","Sirey","dsirey9@google.fr","Female","34","2"
"11","Thelma","Sandon","tsandona@ca.gov","Female","49","3"
"12","Ulysses","Cain","ucainb@ebay.com","Male","34","5"
"13","Mario","Emblin","memblinc@elpais.com","Male","76","3"
"14","Tobit","Dengel","tdengeld@baidu.com","Male","48","4"
"15","Glynda","Ayer","gayere@cornell.edu","Female","25","3"
"16","Ibbie","O'Kinneally","iokinneallyf@amazon.de","Female","49","1"
"17","Myrtia","Cumberpatch","mcumberpatchg@arstechnica.com","Female","29","2"
"18","Berkie","Blazek","bblazekh@newyorker.com","Male","24","3"
"19","Chiquia","Grieveson","cgrievesoni@psu.edu","Female","35","3"
"20","Blanca","Raddan","braddanj@businessweek.com","Female","64","1"
"21","Caron","Celes","ccelesk@google.com","Female","71","1"
"22","Gigi","Haygreen","ghaygreenl@china.com.cn","Female","31","2"
"23","Duncan","Landre","dlandrem@yellowbook.com","Male","59","4"
"24","Ediva","Keith","ekeithn@google.pl","Female","59","2"
"25","Paulie","Perelli","pperellio@webmd.com","Male","31","5"
"26","Kinny","Whiteford","kwhitefordp@google.de","Male","56","5"
"27","Nedda","Braun","nbraunq@com.com","Female","25","4"
"28","Leroi","Bonanno","lbonannor@apple.com","Male","48","4"
"29","Nate","Capstaff","ncapstaffs@wikimedia.org","Male","70","5"
"30","Kienan","Elham","kelhamt@vk.com","Male","53","4"
"31","Ambrose","Pinsent","apinsentu@seattletimes.com","Male","33","1"
"32","Orazio","Booth-Jarvis","oboothjarvisv@boston.com","Male","48","5"
"33","Benedict","Burvill","bburvillw@wix.com","Male","38","3"
"34","Billy","Danilowicz","bdanilowiczx@tamu.edu","Genderqueer","33","3"
"35","Gay","Maffi","gmaffiy@acquirethisname.com","Male","37","4"
"36","Ronnie","Garton","rgartonz@naver.com","Male","73","2"
"37","Felipa","Limpenny","flimpenny10@nps.gov","Female","38","1"
"38","Helenka","Abelson","habelson11@theguardian.com","Female","18","1"
"39","Sydel","O'Harney","soharney12@scientificamerican.com","Polygender","23","3"
"40","Gordon","Elijah","gelijah13@jugem.jp","Male","43","4"
"41","Monroe","Teggin","mteggin14@auda.org.au","Male","69","2"
"42","Sephira","Lamke","slamke15@reverbnation.com","Female","29","1"
"43","Teresita","MacAughtrie","tmacaughtrie16@bizjournals.com","Female","51","1"
"44","Moyna","Nelligan","mnelligan17@umn.edu","Agender","58","5"
"45","Sarene","Sheran","ssheran18@yandex.ru","Female","29","2"
"46","Farah","Stoves","fstoves19@tmall.com","Female","79","4"
"47","Ogdan","Ketcher","oketcher1a@illinois.edu","Male","19","2"
"48","Alessandra","Orridge","aorridge1b@flickr.com","Female","51","2"
"49","Madeline","Hasnney","mhasnney1c@g.co","Female","37","1"
"50","Skipton","Immer","simmer1d@canalblog.com","Male","72","5"
"51","Noelyn","Pierpoint","npierpoint1e@dedecms.com","Female","34","4"
"52","Diannne","Tilly","dtilly1f@opera.com","Female","39","2"
"53","Guenna","Woolis","gwoolis1g@simplemachines.org","Female","36","5"
"54","Minni","Barbie","mbarbie1h@mozilla.org","Female","62","3"
"55","Dion","Clemencet","dclemencet1i@state.gov","Female","80","1"
"56","Grata","Deluze","gdeluze1j@wiley.com","Female","57","3"
"57","Emery","Evitt","eevitt1k@theguardian.com","Non-binary","24","3"
"58","Bobine","Maddock","bmaddock1l@miibeian.gov.cn","Female","60","4"
"59","Katya","Moisey","kmoisey1m@rambler.ru","Female","40","2"
"60","Margareta","Bollini","mbollini1n@bizjournals.com","Female","32","1"
"61","Fletch","Rentalll","frentalll1o@ibm.com","Male","50","1"
"62","Saxe","Shawyers","sshawyers1p@google.de","Bigender","32","5"
"63","Zachariah","Farlane","zfarlane1q@odnoklassniki.ru","Male","46","3"
"64","Shaughn","McAndrew","smcandrew1r@pagesperso-orange.fr","Male","59","1"
"65","Ade","Sidery","asidery1s@wordpress.com","Male","70","1"
"66","Ladonna","Picardo","lpicardo1t@skype.com","Female","45","5"
"67","Garry","Malinson","gmalinson1u@aboutads.info","Male","54","5"
"68","Tye","Shakshaft","tshakshaft1v@nyu.edu","Male","45","3"
"69","Rayna","Raitt","rraitt1w@uiuc.edu","Female","39","2"
"70","Jorgan","Perrelle","jperrelle1x@sbwire.com","Male","40","1"
"71","Jehu","Lever","jlever1y@addtoany.com","Male","35","4"
"72","Benedick","Rearden","brearden1z@vkontakte.ru","Male","77","5"
"73","Jacynth","Vasishchev","jvasishchev20@webmd.com","Female","77","4"
"74","Reamonn","Sappy","rsappy21@vk.com","Male","60","5"
"75","Bari","Digges","bdigges22@yolasite.com","Agender","69","2"
"76","Alexandr","Fulks","afulks23@google.co.uk","Male","58","3"
"77","Cindelyn","Arter","carter24@rambler.ru","Agender","66","1"
"78","Klemens","Doring","kdoring25@mashable.com","Male","47","1"
